Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Year_norm
Nissan,Other,2014.0,Hatchback,87100.0,1200.0,Petrol,0,7950.0,0.8292682926829268
Toyota,Avensis,2000.0,Sedan,420000.0,1600.0,Metan/Propan,0,2999.0,0.4878048780487805
Seat,Other,2002.0,Minivan,2.0,2000.0,Petrol,0,4299.0,0.5365853658536586
Honda,CR-V,2002.0,Universal,275100.0,2000.0,Petrol,0,5900.0,0.5365853658536586
BMW,5 Series,2015.0,Sedan,180236.0,2000.0,Diesel,1,21500.0,0.8536585365853658
Honda,CR-V,2010.0,Crossover,183000.0,2200.0,Diesel,0,12999.0,0.7317073170731707
Nissan,Other,2011.0,Hatchback,195000.0,1500.0,Diesel,0,5250.0,0.7560975609756098
Volkswagen,Passat,1993.0,Universal,311254.0,2000.0,Metan/Propan,0,29000.0,0.3170731707317073
Opel,Astra,2010.0,Hatchback,190000.0,1300.0,Diesel,0,6500.0,0.7317073170731707
Skoda,Other,2016.0,Universal,116000.0,1598.0,Petrol,1,10300.0,0.8780487804878049
Volkswagen,Other,2006.0,Minivan,250000.0,2000.0,Diesel,0,6900.0,0.6341463414634146
Lexus,Other,2009.0,Sedan,149.0,3490.0,Metan/Propan,1,10499.0,0.7073170731707317
Nissan,Qashqai,2015.0,Crossover,149000.0,1200.0,Petrol,1,12500.0,0.8536585365853658
Skoda,Superb,2016.0,Sedan,170000.0,2000.0,Diesel,1,17490.0,0.8780487804878049
Toyota,Other,2001.0,SUV,250000.0,4700.0,Metan/Propan,1,9990.0,0.5121951219512195
Toyota,Prius,2008.0,Hatchback,1.0,1500.0,Hybrid,1,6800.0,0.6829268292682927
Toyota,Corolla,2006.0,Universal,256000.0,1400.0,Diesel,0,5490.0,0.6341463414634146
Mazda,Other,2002.0,SUV,255000.0,2000.0,Petrol,0,3990.0,0.5365853658536586
Chevrolet,Other,2011.0,Hatchback,190000.0,1400.0,Plug-in Hybrid,1,9150.0,0.7560975609756098
Mercedes,Other,2019.0,Crossover,24000.0,3000.0,Petrol,1,51000.0,0.9512195121951219
Volkswagen,Passat,2002.0,Universal,270000.0,1800.0,Petrol,0,2550.0,0.5365853658536586
Volkswagen,Other,2010.0,SUV,235000.0,3000.0,Diesel,1,20950.0,0.7317073170731707
BMW,5 Series,2000.0,Sedan,254604.0,2500.0,Petrol,0,4500.0,0.4878048780487805
Renault,Megane,2009.0,Universal,165000.0,1500.0,Diesel,0,4999.0,0.7073170731707317
Toyota,Other,2017.0,Crossover,115000.0,1800.0,Hybrid,1,17999.0,0.9024390243902439
BMW,7 Series,1998.0,Sedan,350000.0,3500.0,Petrol,0,3990.0,0.43902439024390244
Mercedes,E Class,2012.0,Sedan,150000.0,2500.0,Diesel,1,14490.0,0.7804878048780488
Audi,Other,2018.0,Hatchback,31091.0,3000.0,Petrol,1,35500.0,0.926829268292683
Renault,Other,2006.0,Hatchback,280000.0,1461.0,Diesel,0,4299.0,0.6341463414634146
Subaru,Other,2011.0,Microvan,176.0,1400.0,Diesel,0,5800.0,0.7560975609756098
Citroen,Other,2012.0,Hatchback,145000.0,1400.0,Diesel,1,6899.0,0.7804878048780488
Audi,A6,1997.0,Sedan,29800.0,2400.0,Metan/Propan,0,2750.0,0.4146341463414634
Ford,Fusion,2013.0,Sedan,178000.0,2000.0,Hybrid,1,9290.0,0.8048780487804879
Toyota,Prius,2014.0,Sedan,140000.0,800.0,Plug-in Hybrid,1,11200.0,0.8292682926829268
Volkswagen,Other,1993.0,Sedan,300000.0,1800.0,Petrol,0,1700.0,0.3170731707317073
Fiat,Other,2003.0,Hatchback,1.0,1200.0,Petrol,0,2650.0,0.5609756097560976
KIA,Other,2009.0,Hatchback,1.0,1600.0,Diesel,0,4700.0,0.7073170731707317
Renault,Other,2017.0,Crossover,129000.0,1500.0,Diesel,1,10990.0,0.9024390243902439
Lexus,Other,2012.0,Hatchback,193000.0,1800.0,Hybrid,1,10950.0,0.7804878048780488
Volvo,XC60,2010.0,SUV,202000.0,2400.0,Diesel,1,14750.0,0.7317073170731707
Dacia,Other,2013.0,Minivan,209000.0,1500.0,Diesel,0,5750.0,0.8048780487804879
Hyundai,Other,2010.0,Hatchback,145000.0,1400.0,Petrol,0,4750.0,0.7317073170731707
Lexus,Other,2012.0,Hatchback,194000.0,1800.0,Hybrid,1,9999.0,0.7804878048780488
Volvo,XC90,2008.0,SUV,249000.0,2400.0,Diesel,0,11500.0,0.6829268292682927
Hyundai,Other,2008.0,Hatchback,142000.0,1100.0,Petrol,0,3499.0,0.6829268292682927
Mercedes,Other,2005.0,Hatchback,260000.0,1500.0,Metan/Propan,1,4750.0,0.6097560975609756
Mercedes,C Class,2002.0,Coupe,240000.0,2300.0,Petrol,0,3499.0,0.5365853658536586
Other,Other,2012.0,Sedan,120000.0,2200.0,Diesel,1,15999.0,0.7804878048780488
Mercedes,E Class,2010.0,Sedan,182000.0,1800.0,Petrol,1,11750.0,0.7317073170731707
Skoda,Octavia,2005.0,Universal,300000.0,2000.0,Petrol,0,4999.0,0.6097560975609756
