Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Year_norm
Dacia,Logan,2005.0,Sedan,197000.0,1400.0,Petrol,0,1300.0,0.6097560975609756
Hyundai,Santa FE,2018.0,SUV,26029.0,2200.0,Diesel,1,28000.0,0.926829268292683
Other,Other,1989.0,SUV,250000.0,2000.0,Metan/Propan,0,2300.0,0.21951219512195122
Toyota,Avensis,2009.0,Universal,218000.0,1998.0,Diesel,0,8700.0,0.7073170731707317
BMW,3 Series,2004.0,Sedan,290000.0,1800.0,Petrol,0,4600.0,0.5853658536585366
Mazda,Other,2008.0,Minivan,111111.0,2000.0,Diesel,0,7300.0,0.6829268292682927
Mitsubishi,Outlander,2006.0,SUV,265000.0,2000.0,Petrol,0,3499.0,0.6341463414634146
Volkswagen,Polo,2000.0,Hatchback,265000.0,1200.0,Petrol,0,1950.0,0.4878048780487805
Opel,Corsa,2002.0,Hatchback,3.0,1200.0,Petrol,0,1950.0,0.5365853658536586
Hyundai,Tucson,2002.0,SUV,265000.0,2000.0,Petrol,1,3499.0,0.5365853658536586
Ford,Other,2006.0,Hatchback,12.0,1400.0,Petrol,1,1950.0,0.6341463414634146
Dacia,Sandero,2006.0,Hatchback,15000.0,1500.0,Petrol,0,2199.0,0.6341463414634146
KIA,Other,2011.0,SUV,247441.0,2200.0,Diesel,0,10800.0,0.7560975609756098
BMW,5 Series,2000.0,Sedan,285000.0,2000.0,Petrol,0,4000.0,0.4878048780487805
Other,Other,2008.0,SUV,189000.0,2500.0,Diesel,0,5300.0,0.6829268292682927
Toyota,Avensis,2009.0,Sedan,218000.0,1998.0,Diesel,0,8700.0,0.7073170731707317
Toyota,Other,2013.0,SUV,180000.0,4500.0,Diesel,1,32000.0,0.8048780487804879
Volkswagen,Caddy,2011.0,Minivan,120000.0,1600.0,Diesel,0,8100.0,0.7560975609756098
Opel,Other,2012.0,Hatchback,111111.0,1400.0,Hybrid,1,12500.0,0.7804878048780488
Peugeot,Other,2010.0,Combi,160244.0,1400.0,Petrol,0,4800.0,0.7317073170731707
Lexus,RX Series,2016.0,SUV,42000.0,1998.0,Petrol,1,42000.0,0.8780487804878049
Mercedes,S Class,1997.0,Sedan,540000.0,3500.0,Diesel,1,3000.0,0.4146341463414634
Peugeot,Other,1996.0,Minivan,230000.0,1900.0,Diesel,0,3400.0,0.3902439024390244
Mercedes,S Class,2006.0,Sedan,285000.0,3500.0,Petrol,1,15700.0,0.6341463414634146
Toyota,Auris,2012.0,Hatchback,191000.0,1400.0,Metan/Propan,0,5900.0,0.7804878048780488
Volkswagen,Golf,2014.0,Hatchback,136212.0,1200.0,Petrol,1,8199.0,0.8292682926829268
BMW,Other,2010.0,Crossover,500000.0,3000.0,Diesel,1,18000.0,0.7317073170731707
Audi,Other,2012.0,Coupe,98074.0,2000.0,Petrol,1,10499.0,0.7804878048780488
Nissan,Other,2003.0,Hatchback,235422.0,1900.0,Diesel,0,2850.0,0.5609756097560976
Audi,A6,2002.0,Sedan,377735.0,2500.0,Diesel,1,3500.0,0.5365853658536586
Toyota,Corolla,2005.0,Hatchback,1.0,1598.0,Petrol,0,4699.0,0.6097560975609756
Audi,A6,1994.0,Sedan,270000.0,2000.0,Petrol,0,2200.0,0.34146341463414637
Nissan,Other,2001.0,Hatchback,285000.0,2198.0,Diesel,0,3100.0,0.5121951219512195
Audi,A6,2015.0,Sedan,52000.0,2000.0,Petrol,1,20900.0,0.8536585365853658
Volkswagen,Passat,2006.0,Universal,248320.0,2000.0,Diesel,1,4200.0,0.6341463414634146
Vaz,Other,1984.0,Sedan,86553.0,1450.0,Petrol,0,1200.0,0.0975609756097561
Dacia,Logan,2005.0,Sedan,18400.0,1400.0,Metan/Propan,0,2500.0,0.6097560975609756
Toyota,Avensis,2004.0,Universal,300123.0,1800.0,Metan/Propan,1,5299.0,0.5853658536585366
Nissan,Other,1997.0,Sedan,458256.0,2000.0,Petrol,1,2550.0,0.4146341463414634
Mercedes,E Class,1996.0,Sedan,332000.0,2000.0,Petrol,0,3499.0,0.3902439024390244
Other,Other,2006.0,SUV,203000.0,2700.0,Diesel,1,6899.0,0.6341463414634146
Opel,Vectra,1992.0,Sedan,300000.0,1800.0,Metan/Propan,0,1300.0,0.2926829268292683
KIA,Other,2003.0,Microvan,220000.0,2498.0,Diesel,0,1400.0,0.5609756097560976
Volkswagen,Passat,2002.0,Universal,495900.0,2000.0,Metan/Propan,1,2850.0,0.5365853658536586
Toyota,Corolla,2008.0,Sedan,206000.0,1400.0,Petrol,0,5400.0,0.6829268292682927
Other,Other,2013.0,Sedan,142000.0,3000.0,Diesel,1,8000.0,0.8048780487804879
Lexus,Other,2013.0,Hatchback,125000.0,1789.0,Hybrid,1,11800.0,0.8048780487804879
Dacia,Logan,2006.0,Sedan,266000.0,1390.0,Petrol,0,1600.0,0.6341463414634146
BMW,5 Series,2017.0,Sedan,111.0,2000.0,Plug-in Hybrid,1,35999.0,0.9024390243902439
Renault,Grand Scenic,2005.0,Minivan,333858.0,1461.0,Diesel,0,2600.0,0.6097560975609756
Citroen,Other,2008.0,Combi,276000.0,1868.0,Diesel,0,2300.0,0.6829268292682927
Mercedes,E Class,2017.0,Sedan,176000.0,2000.0,Diesel,1,28999.0,0.9024390243902439
Renault,Megane,2011.0,Universal,221000.0,1500.0,Diesel,1,6800.0,0.7560975609756098
Mercedes,Other,2013.0,Sedan,108000.0,3000.0,Diesel,1,26900.0,0.8048780487804879
Volkswagen,Passat,2011.0,Universal,274000.0,1968.0,Diesel,0,9300.0,0.7560975609756098
Toyota,Avensis,2003.0,Hatchback,221300.0,1998.0,Petrol,0,4700.0,0.5609756097560976
Dacia,Other,2012.0,Minivan,17200.0,1500.0,Diesel,0,5600.0,0.7804878048780488
Volkswagen,Jetta,2013.0,Sedan,168000.0,1400.0,Hybrid,1,8300.0,0.8048780487804879
Volkswagen,Caddy,2005.0,Minivan,208000.0,1968.0,Diesel,0,4500.0,0.6097560975609756
BMW,5 Series,2005.0,Sedan,310000.0,2500.0,Diesel,0,7400.0,0.6097560975609756
Opel,Astra,2008.0,Universal,250000.0,1300.0,Diesel,0,4700.0,0.6829268292682927
Hyundai,Santa FE,2015.0,SUV,200000.0,2200.0,Diesel,1,17800.0,0.8536585365853658
Skoda,Fabia,2007.0,Universal,295000.0,1400.0,Metan/Propan,0,3500.0,0.6585365853658537
Skoda,Octavia,2010.0,Universal,206000.0,1400.0,Petrol,1,6800.0,0.7317073170731707
Volkswagen,Polo,2006.0,Hatchback,154265.0,1200.0,Petrol,0,3400.0,0.6341463414634146
Hyundai,Santa FE,2017.0,SUV,175000.0,2200.0,Diesel,1,23999.0,0.9024390243902439
Audi,A6,2000.0,Sedan,206000.0,2400.0,Petrol,0,3500.0,0.4878048780487805
Audi,A4,1995.0,Sedan,230000.0,1796.0,Metan/Propan,0,2600.0,0.36585365853658536
BMW,7 Series,2010.0,Sedan,175000.0,4395.0,Petrol,1,21000.0,0.7317073170731707
Other,Other,2002.0,SUV,271000.0,2700.0,Diesel,1,4200.0,0.5365853658536586
Skoda,Octavia,2010.0,Universal,206.0,1400.0,Petrol,1,7000.0,0.7317073170731707
Audi,A6,1997.0,Sedan,250000.0,2400.0,Petrol,1,2550.0,0.4146341463414634
Honda,CR-V,2014.0,Crossover,206.0,1600.0,Diesel,0,16999.0,0.8292682926829268
Volkswagen,Transporter,1994.0,Microvan,23.0,2400.0,Diesel,0,3000.0,0.34146341463414637
Opel,Astra,2001.0,Universal,370.0,1686.0,Diesel,0,3400.0,0.5121951219512195
Toyota,Other,2003.0,Minivan,279.0,1998.0,Diesel,0,4900.0,0.5609756097560976
Other,Other,2004.0,Sedan,200000.0,2700.0,Metan/Propan,1,3700.0,0.5853658536585366
Toyota,Corolla,2005.0,Hatchback,151000.0,1400.0,Diesel,1,5500.0,0.6097560975609756
BMW,3 Series,2014.0,Sedan,84000.0,1598.0,Petrol,0,9700.0,0.8292682926829268
Renault,Megane,2014.0,Hatchback,200000.0,1461.0,Diesel,0,6300.0,0.8292682926829268
Dacia,Sandero,2012.0,Crossover,200000.0,1461.0,Diesel,0,5200.0,0.7804878048780488
Mercedes,E Class,2004.0,Universal,265400.0,2200.0,Diesel,1,6888.0,0.5853658536585366
Renault,Megane,2013.0,Universal,197000.0,1461.0,Diesel,0,6700.0,0.8048780487804879
Ford,Other,2007.0,Universal,240000.0,2000.0,Diesel,0,7200.0,0.6585365853658537
BMW,Other,2016.0,Minivan,115000.0,1500.0,Diesel,0,10000.0,0.8780487804878049
Hyundai,Santa FE,2017.0,SUV,13500.0,2000.0,Petrol,1,19990.0,0.9024390243902439
Land Rover,Other,2005.0,Crossover,270000.0,1951.0,Diesel,0,3400.0,0.6097560975609756
Opel,Vectra,1994.0,Sedan,282537.0,1600.0,Petrol,0,1550.0,0.34146341463414637
Chevrolet,Other,2006.0,Sedan,290.0,1600.0,Petrol,0,2500.0,0.6341463414634146
Dacia,Logan,2007.0,Sedan,112800.0,1400.0,Metan/Propan,0,3250.0,0.6585365853658537
Volkswagen,Transporter,1999.0,Minivan,385.0,1900.0,Diesel,0,4300.0,0.4634146341463415
Volkswagen,Transporter,1999.0,Minivan,380.0,1900.0,Diesel,0,4300.0,0.4634146341463415
Volkswagen,Golf,2011.0,Universal,1.0,1400.0,Petrol,0,6499.0,0.7560975609756098
Volkswagen,Golf,2012.0,Universal,169000.0,1390.0,Petrol,0,7500.0,0.7804878048780488
Opel,Astra,1993.0,Universal,235000.0,1600.0,Petrol,0,1790.0,0.3170731707317073
Opel,Astra,1993.0,Hatchback,292000.0,1600.0,Petrol,0,1550.0,0.3170731707317073
Mercedes,Other,2003.0,Minivan,250000.0,2200.0,Diesel,1,9990.0,0.5609756097560976
Mercedes,E Class,2011.0,Sedan,131313.0,2200.0,Diesel,1,20000.0,0.7560975609756098
Opel,Vectra,1994.0,Sedan,123456.0,2000.0,Petrol,0,1000.0,0.34146341463414637
Opel,Astra,1993.0,Universal,292000.0,1400.0,Petrol,0,1750.0,0.3170731707317073
Volkswagen,Passat,2002.0,Sedan,1000.0,1900.0,Diesel,0,4200.0,0.5365853658536586
BMW,3 Series,2004.0,Sedan,320000.0,3000.0,Diesel,1,6700.0,0.5853658536585366
Skoda,Fabia,2006.0,Universal,239000.0,1400.0,Diesel,0,4000.0,0.6341463414634146
Porsche,Cayenne,2013.0,SUV,180000.0,3000.0,Diesel,1,31000.0,0.8048780487804879
Renault,Scenic,2010.0,Hatchback,199000.0,1500.0,Diesel,1,6199.0,0.7317073170731707
Mercedes,E Class,2001.0,Sedan,250000.0,1998.0,Metan/Propan,0,5800.0,0.5121951219512195
Volkswagen,Golf,1998.0,Hatchback,300000.0,1589.0,Metan/Propan,0,2350.0,0.43902439024390244
Audi,A6,2002.0,Sedan,250000.0,1800.0,Metan/Propan,0,3750.0,0.5365853658536586
Opel,Astra,2006.0,Universal,1.0,1300.0,Diesel,0,2700.0,0.6341463414634146
Opel,Astra,2000.0,Hatchback,245000.0,1600.0,Petrol,0,2850.0,0.4878048780487805
Nissan,Other,1994.0,Sedan,245000.0,1600.0,Petrol,0,1700.0,0.34146341463414637
Mazda,Other,2003.0,Minivan,180000.0,2000.0,Diesel,0,3250.0,0.5609756097560976
Honda,CR-V,2017.0,SUV,49500.0,1500.0,Petrol,1,19500.0,0.9024390243902439
Mitsubishi,Other,1999.0,Minivan,190000.0,2351.0,Petrol,0,3500.0,0.4634146341463415
Other,Other,2011.0,Sedan,170000.0,800.0,Metan/Propan,0,1450.0,0.7560975609756098
Mazda,Other,2008.0,Crossover,167200.0,2300.0,Metan/Propan,1,6799.0,0.6829268292682927
Ford,Other,2017.0,Crossover,64000.0,1500.0,Petrol,1,12850.0,0.9024390243902439
Ford,Other,2017.0,Crossover,65000.0,1500.0,Petrol,1,12850.0,0.9024390243902439
Nissan,Other,2004.0,Hatchback,146361.0,1400.0,Petrol,1,3950.0,0.5853658536585366
Skoda,Octavia,2010.0,Hatchback,20022.0,1600.0,Diesel,0,7600.0,0.7317073170731707
Volkswagen,Golf,1992.0,Universal,450000.0,1900.0,Diesel,0,1850.0,0.2926829268292683
Ford,Fusion,2013.0,Sedan,100000.0,2000.0,Plug-in Hybrid,1,8000.0,0.8048780487804879
Toyota,Camry,2008.0,Sedan,200000.0,2400.0,Hybrid,1,5500.0,0.6829268292682927
Toyota,Corolla,2005.0,Hatchback,330000.0,1400.0,Diesel,1,4899.0,0.6097560975609756
Land Rover,Other,2006.0,SUV,14.0,402.0,Metan/Propan,1,10800.0,0.6341463414634146
Dacia,Logan,2008.0,Universal,160000.0,1400.0,Metan/Propan,0,4300.0,0.6829268292682927
Mercedes,E Class,2015.0,Sedan,245000.0,2200.0,Diesel,1,18999.0,0.8536585365853658
Citroen,Other,2002.0,Sedan,175000.0,1400.0,Petrol,0,2250.0,0.5365853658536586
Hyundai,Other,2017.0,Sedan,160000.0,2000.0,Metan/Propan,1,14500.0,0.9024390243902439
Ford,Fusion,2013.0,Sedan,163000.0,1998.0,Hybrid,1,10700.0,0.8048780487804879
Mercedes,Other,2016.0,SUV,110590.0,3000.0,Diesel,1,48500.0,0.8780487804878049
Renault,Kadjar,2015.0,Crossover,1.0,1499.0,Diesel,0,11699.0,0.8536585365853658
Toyota,Other,2012.0,SUV,202500.0,4500.0,Diesel,1,36500.0,0.7804878048780488
Honda,Accord,1990.0,Sedan,300000.0,2000.0,Petrol,0,1200.0,0.24390243902439024
Mercedes,M Class,2003.0,SUV,250000.0,4000.0,Diesel,1,2800.0,0.5609756097560976
Volkswagen,Caddy,2012.0,Minivan,222215.0,1598.0,Diesel,0,7990.0,0.7804878048780488
Mercedes,Other,2015.0,Minivan,289178.0,1461.0,Diesel,0,8990.0,0.8536585365853658
Volkswagen,Passat,1996.0,Universal,20.0,1900.0,Diesel,0,2200.0,0.3902439024390244
Renault,Megane,2014.0,Universal,194340.0,1492.0,Diesel,0,6900.0,0.8292682926829268
Volkswagen,Other,2015.0,Pickup,279870.0,1968.0,Diesel,0,15900.0,0.8536585365853658
Opel,Astra,2006.0,Universal,312000.0,1300.0,Diesel,0,3400.0,0.6341463414634146
Other,Other,2008.0,SUV,8889.0,2800.0,Diesel,0,1500.0,0.6829268292682927
Opel,Corsa,2009.0,Sedan,11111.0,1900.0,Diesel,0,1500.0,0.7073170731707317
Suzuki,Other,2002.0,SUV,155000.0,1364.0,Metan/Propan,0,3500.0,0.5365853658536586
Other,Other,2007.0,Sedan,165872.0,2400.0,Petrol,0,2200.0,0.6585365853658537
Honda,CR-V,2000.0,Crossover,265000.0,2000.0,Petrol,1,2550.0,0.4878048780487805
Mitsubishi,Outlander,2007.0,Crossover,190300.0,2996.0,Metan/Propan,1,8550.0,0.6585365853658537
Volkswagen,Passat,1996.0,Universal,200000.0,1900.0,Diesel,0,1300.0,0.3902439024390244
Porsche,Cayenne,2004.0,Crossover,111000.0,450.0,Petrol,1,3200.0,0.5853658536585366
Ford,Other,1998.0,Minivan,238000.0,2300.0,Metan/Propan,0,4600.0,0.43902439024390244
Skoda,Fabia,2006.0,Universal,340000.0,1400.0,Diesel,0,2950.0,0.6341463414634146
Honda,Civic,1996.0,Hatchback,45239.0,1500.0,Petrol,0,1350.0,0.3902439024390244
Volkswagen,Other,1998.0,Minivan,250000.0,1900.0,Diesel,0,3800.0,0.43902439024390244
Mercedes,Other,2019.0,Universal,45000.0,1460.0,Diesel,1,24600.0,0.9512195121951219
Dacia,Sandero,2009.0,Hatchback,208000.0,1400.0,Metan/Propan,0,3600.0,0.7073170731707317
Opel,Astra,2006.0,Universal,300.0,1300.0,Diesel,0,3700.0,0.6341463414634146
Volkswagen,Passat,2013.0,Sedan,200000.0,1600.0,Diesel,1,10900.0,0.8048780487804879
Toyota,Auris,2010.0,Hatchback,180000.0,1800.0,Hybrid,1,8000.0,0.7317073170731707
Peugeot,Other,2005.0,Universal,350.0,1600.0,Petrol,0,2600.0,0.6097560975609756
Toyota,Corolla,2006.0,Hatchback,208000.0,1400.0,Diesel,0,6150.0,0.6341463414634146
Honda,Civic,1995.0,Hatchback,1111.0,1400.0,Petrol,0,1200.0,0.36585365853658536
KIA,Other,1995.0,Sedan,1598.0,1600.0,Petrol,0,1650.0,0.36585365853658536
Opel,Zafira,2008.0,Minivan,211000.0,1600.0,Petrol,0,4950.0,0.6829268292682927
Dacia,Logan,2009.0,Universal,260000.0,1600.0,Metan/Propan,0,4300.0,0.7073170731707317
Ford,Focus,2008.0,Sedan,65000.0,2000.0,Metan/Propan,1,4999.0,0.6829268292682927
Opel,Zafira,2007.0,Minivan,240000.0,1600.0,Metan/Propan,0,6600.0,0.6585365853658537
KIA,Other,2002.0,Minivan,34500.0,2000.0,Metan/Propan,0,2550.0,0.5365853658536586
Renault,Kangoo,2005.0,Minivan,30010.0,1500.0,Diesel,0,2200.0,0.6097560975609756
Peugeot,Other,2010.0,Microvan,266000.0,1560.0,Diesel,0,5000.0,0.7317073170731707
Vaz,Other,1981.0,SUV,160000.0,1600.0,Petrol,0,1200.0,0.024390243902439025
BMW,5 Series,2002.0,Sedan,325000.0,3000.0,Diesel,1,1750.0,0.5365853658536586
Mitsubishi,Outlander,2013.0,Crossover,205000.0,2000.0,Plug-in Hybrid,1,12900.0,0.8048780487804879
Toyota,Other,2007.0,Minivan,181000.0,2200.0,Diesel,0,7999.0,0.6585365853658537
Mitsubishi,Outlander,2015.0,SUV,111111.0,2000.0,Plug-in Hybrid,1,11900.0,0.8536585365853658
Hyundai,Other,2009.0,Sedan,250000.0,1600.0,Metan/Propan,0,4200.0,0.7073170731707317
Dacia,Logan,2016.0,Sedan,440.0,1149.0,Metan/Propan,0,2450.0,0.8780487804878049
Ford,Other,2001.0,Minivan,500.0,1800.0,Diesel,0,1550.0,0.5121951219512195
Mitsubishi,Other,1998.0,Sedan,265000.0,2000.0,Petrol,0,2400.0,0.43902439024390244
Honda,Other,2003.0,Hatchback,320000.0,1400.0,Petrol,0,3300.0,0.5609756097560976
BMW,3 Series,2008.0,Universal,225000.0,2000.0,Diesel,0,4999.0,0.6829268292682927
BMW,3 Series,2008.0,Universal,227000.0,2000.0,Diesel,0,4999.0,0.6829268292682927
Dacia,Logan Mcv,2008.0,Universal,160000.0,1400.0,Metan/Propan,0,4300.0,0.6829268292682927
Opel,Other,2003.0,Minivan,200.0,1900.0,Diesel,0,1200.0,0.5609756097560976
Renault,Megane,2006.0,Universal,265132.0,1500.0,Diesel,0,2850.0,0.6341463414634146
Honda,CR-V,2013.0,Crossover,197000.0,2200.0,Diesel,0,16000.0,0.8048780487804879
Skoda,Fabia,2012.0,Universal,181000.0,1200.0,Diesel,0,5700.0,0.7804878048780488
Ford,Other,2004.0,Hatchback,213000.0,1400.0,Petrol,1,2800.0,0.5853658536585366
Volkswagen,Polo,2014.0,Hatchback,169000.0,1422.0,Diesel,0,7490.0,0.8292682926829268
BMW,3 Series,2007.0,Universal,274000.0,3000.0,Diesel,1,4600.0,0.6585365853658537
BMW,5 Series,2007.0,Universal,241000.0,3000.0,Diesel,1,6000.0,0.6585365853658537
Mercedes,E Class,2007.0,Sedan,378000.0,2200.0,Diesel,1,9600.0,0.6585365853658537
Mercedes,S Class,2005.0,Sedan,328500.0,3200.0,Diesel,1,8400.0,0.6097560975609756
Dacia,Other,2011.0,Hatchback,190400.0,1500.0,Diesel,0,5900.0,0.7560975609756098
Skoda,Octavia,2017.0,Hatchback,90000.0,1598.0,Diesel,0,13599.0,0.9024390243902439
KIA,Other,2011.0,Hatchback,130000.0,1100.0,Diesel,0,6300.0,0.7560975609756098
Lexus,Other,2015.0,Sedan,115120.0,2500.0,Hybrid,1,18300.0,0.8536585365853658
Renault,Kangoo,2001.0,Minivan,260100.0,1400.0,Petrol,0,2800.0,0.5121951219512195
Honda,Accord,1995.0,Sedan,231000.0,2000.0,Petrol,0,2500.0,0.36585365853658536
Volkswagen,Touran,2009.0,Minivan,180000.0,1896.0,Diesel,0,9000.0,0.7073170731707317
Dacia,Logan,2006.0,Sedan,250.0,1400.0,Metan/Propan,0,2050.0,0.6341463414634146
Mercedes,C Class,2005.0,Sedan,280000.0,2200.0,Diesel,0,5600.0,0.6097560975609756
Renault,Megane,2010.0,Universal,192000.0,1500.0,Diesel,0,5200.0,0.7317073170731707
Audi,A6,2006.0,Sedan,250000.0,3000.0,Diesel,1,4300.0,0.6341463414634146
KIA,Other,2006.0,Hatchback,296000.0,1500.0,Diesel,0,3200.0,0.6341463414634146
Vaz,Other,2004.0,Hatchback,111993.0,1500.0,Petrol,0,1150.0,0.5853658536585366
KIA,Other,2007.0,Hatchback,123000.0,1500.0,Diesel,0,2950.0,0.6585365853658537
Volkswagen,Golf,2004.0,Hatchback,187000.0,1600.0,Petrol,1,2700.0,0.5853658536585366
Opel,Astra,2009.0,Universal,123000.0,1300.0,Diesel,0,3599.0,0.7073170731707317
Volkswagen,Passat,2007.0,Sedan,190000.0,1600.0,Metan/Propan,0,4999.0,0.6585365853658537
Volkswagen,Golf,2005.0,Universal,123000.0,1600.0,Petrol,0,2999.0,0.6097560975609756
Mercedes,S Class,2000.0,Sedan,190000.0,4000.0,Diesel,1,4299.0,0.4878048780487805
BMW,7 Series,2010.0,Sedan,120000.0,3000.0,Petrol,1,21000.0,0.7317073170731707
Lexus,RX Series,2013.0,SUV,43500.0,3500.0,Hybrid,1,28000.0,0.8048780487804879
Opel,Astra,2016.0,Universal,170000.0,1600.0,Diesel,1,8500.0,0.8780487804878049
Volkswagen,Jetta,2006.0,Sedan,190000.0,1600.0,Petrol,0,5000.0,0.6341463414634146
Audi,Other,1990.0,Sedan,172000.0,1800.0,Petrol,0,1100.0,0.24390243902439024
Volkswagen,Golf,2011.0,Hatchback,155741.0,1200.0,Petrol,0,6800.0,0.7560975609756098
Audi,Other,2012.0,Coupe,255000.0,3000.0,Diesel,1,17500.0,0.7804878048780488
BMW,7 Series,2013.0,Sedan,180000.0,3000.0,Diesel,1,30999.0,0.8048780487804879
BMW,5 Series,2012.0,Sedan,146000.0,3000.0,Diesel,1,14100.0,0.7804878048780488
Toyota,Avensis,2006.0,Universal,200000.0,2000.0,Diesel,0,5500.0,0.6341463414634146
Opel,Other,1991.0,Sedan,1.0,2000.0,Petrol,0,1050.0,0.2682926829268293
Volkswagen,Touran,2011.0,Minivan,245000.0,2000.0,Diesel,1,9800.0,0.7560975609756098
Ford,Other,2001.0,Minivan,285000.0,1900.0,Diesel,1,3900.0,0.5121951219512195
Renault,Grand Scenic,2005.0,Minivan,197000.0,1500.0,Diesel,0,2899.0,0.6097560975609756
Mercedes,E Class,2003.0,Sedan,462000.0,2600.0,Metan/Propan,0,6200.0,0.5609756097560976
Toyota,Rav 4,2017.0,Crossover,30000.0,2500.0,Hybrid,1,21400.0,0.9024390243902439
Honda,Accord,1998.0,Sedan,1.0,1800.0,Metan/Propan,0,2499.0,0.43902439024390244
Mercedes,E Class,2003.0,Sedan,311000.0,2700.0,Diesel,1,3850.0,0.5609756097560976
Mercedes,E Class,2004.0,Universal,385070.0,3200.0,Diesel,1,3900.0,0.5853658536585366
Ford,Fusion,2013.0,Sedan,100000.0,2000.0,Plug-in Hybrid,1,7800.0,0.8048780487804879
Chevrolet,Other,2015.0,Crossover,47000.0,2200.0,Diesel,1,16300.0,0.8536585365853658
Land Rover,Other,2012.0,SUV,110000.0,3000.0,Diesel,1,25990.0,0.7804878048780488
Mercedes,E Class,2007.0,Sedan,290039.0,2200.0,Diesel,1,9660.0,0.6585365853658537
Toyota,Other,2010.0,Hatchback,209123.0,1400.0,Diesel,0,6700.0,0.7317073170731707
Mercedes,E Class,2005.0,Sedan,350000.0,2700.0,Diesel,1,3700.0,0.6097560975609756
Mercedes,E Class,2007.0,Sedan,290029.0,2200.0,Diesel,1,9880.0,0.6585365853658537
Mercedes,E Class,2003.0,Sedan,444000.0,2200.0,Diesel,1,6800.0,0.5609756097560976
Mitsubishi,Other,2003.0,Minivan,250000.0,1400.0,Petrol,0,2400.0,0.5609756097560976
Toyota,Other,2013.0,Hatchback,157126.0,1800.0,Hybrid,1,5900.0,0.8048780487804879
BMW,3 Series,2002.0,Coupe,246342.0,1800.0,Petrol,0,3200.0,0.5365853658536586
BMW,7 Series,2012.0,Sedan,123000.0,3000.0,Petrol,1,18900.0,0.7804878048780488
Volkswagen,Golf,2004.0,Universal,220000.0,1900.0,Diesel,0,2900.0,0.5853658536585366
Nissan,Qashqai,2015.0,Crossover,220000.0,1500.0,Diesel,0,9000.0,0.8536585365853658
Renault,Other,2016.0,Universal,160000.0,1500.0,Diesel,0,3650.0,0.8780487804878049
Renault,Grand Scenic,2014.0,Minivan,140000.0,1500.0,Diesel,0,5000.0,0.8292682926829268
Ford,Fusion,2015.0,Sedan,220000.0,2000.0,Hybrid,1,6909.0,0.8536585365853658
Ford,Fusion,2018.0,Sedan,140000.0,2000.0,Hybrid,1,10000.0,0.926829268292683
Lexus,Other,2013.0,Cabriolet,93000.0,2500.0,Petrol,1,18499.0,0.8048780487804879
Opel,Astra,2010.0,Hatchback,225000.0,1300.0,Diesel,0,5600.0,0.7317073170731707
Subaru,Other,2005.0,Universal,1.0,3000.0,Metan/Propan,1,6300.0,0.6097560975609756
Honda,Other,2007.0,Hatchback,206000.0,1246.0,Petrol,0,3700.0,0.6585365853658537
Mercedes,Vito,1997.0,Minivan,450250.0,2299.0,Diesel,0,2550.0,0.4146341463414634
Toyota,Other,2003.0,Minivan,4.0,1995.0,Diesel,0,7500.0,0.5609756097560976
BMW,5 Series,1995.0,Sedan,340.0,2100.0,Petrol,0,3700.0,0.36585365853658536
Dacia,Logan,2008.0,Sedan,400000.0,1400.0,Metan/Propan,0,2200.0,0.6829268292682927
Opel,Corsa,2011.0,Hatchback,155000.0,1248.0,Diesel,0,4700.0,0.7560975609756098
Ford,Other,2007.0,Hatchback,165000.0,1600.0,Diesel,0,3450.0,0.6585365853658537
Vaz,Other,2006.0,Crossover,253.0,1690.0,Metan/Propan,0,4999.0,0.6341463414634146
Lexus,RX Series,2010.0,SUV,241000.0,3500.0,Hybrid,1,20000.0,0.7317073170731707
Skoda,Fabia,2019.0,Hatchback,13000.0,999.0,Petrol,0,10000.0,0.9512195121951219
Volkswagen,Jetta,2017.0,Sedan,78.0,1400.0,Petrol,0,9200.0,0.9024390243902439
Volkswagen,Transporter,2000.0,Microvan,243.0,1900.0,Diesel,0,5500.0,0.4878048780487805
BMW,Other,2015.0,SUV,67.0,2000.0,Petrol,1,21000.0,0.8536585365853658
BMW,X5,2001.0,SUV,465.0,2975.0,Metan/Propan,1,8499.0,0.5121951219512195
Volkswagen,Other,2010.0,Universal,232.0,1968.0,Diesel,0,12300.0,0.7317073170731707
BMW,5 Series,2012.0,Sedan,170.0,1997.0,Petrol,1,12999.0,0.7804878048780488
Skoda,Other,2018.0,SUV,25000.0,2000.0,Petrol,1,27999.0,0.926829268292683
Volkswagen,Passat,2015.0,Sedan,262.0,2000.0,Diesel,1,13799.0,0.8536585365853658
Skoda,Fabia,2011.0,Universal,231.0,1200.0,Diesel,0,5999.0,0.7560975609756098
Renault,Kadjar,2017.0,Sedan,166050.0,1500.0,Diesel,1,14600.0,0.9024390243902439
Ford,Other,2018.0,Pickup,29.0,3490.0,Petrol,1,59999.0,0.926829268292683
Skoda,Octavia,2006.0,Sedan,111111.0,1400.0,Petrol,0,4250.0,0.6341463414634146
Volkswagen,Jetta,2016.0,Sedan,138.0,1400.0,Petrol,1,9500.0,0.8780487804878049
Volkswagen,Passat,2014.0,Minivan,199000.0,1600.0,Diesel,0,10999.0,0.8292682926829268
Volkswagen,Other,2011.0,Universal,155.0,1390.0,Petrol,0,9499.0,0.7560975609756098
